type,code,name
industry,881002.SH,煤炭开采
industry,881005.SH,焦炭加工
industry,881007.SH,油气开采
industry,881008.SH,油服工程
industry,881011.SH,石油化工
industry,881016.SH,日用化工
industry,881019.SH,化纤
industry,881026.SH,化学原料
industry,881034.SH,化学制品
industry,881044.SH,塑料
industry,881051.SH,橡胶
industry,881055.SH,农用化工
industry,881062.SH,冶钢原料
industry,881065.SH,普钢
industry,881069.SH,特钢
industry,881071.SH,工业金属
industry,881075.SH,贵金属
industry,881078.SH,能源金属
industry,881082.SH,稀有金属
industry,881087.SH,金属新材料
industry,881091.SH,水泥
industry,881094.SH,玻璃玻纤
industry,881097.SH,装饰建材
industry,881104.SH,非金属材料
industry,881106.SH,种植业
industry,881111.SH,养殖业
industry,881115.SH,林业
industry,881116.SH,渔业
industry,881119.SH,饲料
industry,881123.SH,农产品加工
industry,881127.SH,动物保健
industry,881130.SH,酿酒
industry,881136.SH,饮料乳品
industry,881139.SH,调味品
industry,881140.SH,休闲食品
industry,881144.SH,食品加工
industry,881151.SH,纺织制造
industry,881157.SH,服装家纺
industry,881162.SH,饰品
industry,881167.SH,造纸
industry,881171.SH,包装印刷
industry,881177.SH,家居用品
industry,881180.SH,文娱用品
industry,881184.SH,白色家电
industry,881187.SH,黑色家电
industry,881190.SH,小家电
industry,881194.SH,厨卫电器
industry,881198.SH,家电零部件
industry,881200.SH,一般零售
industry,881204.SH,商业物业经营
industry,881205.SH,专业连锁
industry,881206.SH,贸易
industry,881207.SH,电子商务
industry,881212.SH,乘用车
industry,881215.SH,商用车
industry,881218.SH,汽车零部件
industry,881224.SH,汽车服务
industry,881227.SH,摩托车及其他
industry,881231.SH,化学制药
industry,881234.SH,生物制品
industry,881241.SH,医疗器械
industry,881247.SH,医疗服务
industry,881252.SH,医药商业
industry,881256.SH,中药
industry,881257.SH,医疗美容
industry,881261.SH,电机制造
industry,881262.SH,电池
industry,881268.SH,电网设备
industry,881275.SH,光伏设备
industry,881282.SH,风电设备
industry,881285.SH,其他发电设备
industry,881287.SH,地面兵装
industry,881288.SH,航空装备
industry,881289.SH,航天装备
industry,881290.SH,航海装备
industry,881291.SH,军工电子
industry,881293.SH,轨交设备
industry,881294.SH,通用设备
industry,881303.SH,专用设备
industry,881310.SH,工程机械
industry,881313.SH,自动化设备
industry,881319.SH,半导体
industry,881326.SH,消费电子
industry,881329.SH,光学光电
industry,881333.SH,元器件
industry,881336.SH,其他电子
industry,881338.SH,通信设备
industry,881344.SH,电信服务
industry,881347.SH,通信工程
industry,881352.SH,IT设备
industry,881355.SH,软件服务
industry,881359.SH,云服务
industry,881364.SH,产业互联网
industry,881369.SH,游戏
industry,881370.SH,广告营销
industry,881373.SH,影视院线
industry,881376.SH,数字媒体
industry,881380.SH,出版业
industry,881384.SH,广播电视
industry,881386.SH,全国性银行
industry,881389.SH,地方性银行
industry,881394.SH,证券
industry,881395.SH,保险
industry,881396.SH,多元金融
industry,881406.SH,房屋建设
industry,881407.SH,基础建设
industry,881410.SH,专业工程
industry,881415.SH,工程咨询服务
industry,881416.SH,装修装饰
industry,881418.SH,房地产开发
industry,881422.SH,房产服务
industry,881427.SH,体育
industry,881428.SH,教育培训
industry,881429.SH,酒店餐饮
industry,881432.SH,旅游
industry,881436.SH,专业服务
industry,881442.SH,公路铁路
industry,881446.SH,航空机场
industry,881449.SH,航运港口
industry,881452.SH,物流
industry,881459.SH,电力
industry,881467.SH,燃气
industry,881468.SH,水务
industry,881470.SH,环保设备
industry,881471.SH,环境治理
industry,881476.SH,环境监测
industry,881478.SH,综合类
region,880201.SH,黑龙江
region,880202.SH,新疆板块
region,880203.SH,吉林板块
region,880204.SH,甘肃板块
region,880205.SH,辽宁板块
region,880206.SH,青海板块
region,880207.SH,北京板块
region,880208.SH,陕西板块
region,880209.SH,天津板块
region,880210.SH,广西板块
region,880211.SH,河北板块
region,880212.SH,广东板块
region,880213.SH,河南板块
region,880214.SH,宁夏板块
region,880215.SH,山东板块
region,880216.SH,上海板块
region,880217.SH,山西板块
region,880218.SH,深圳板块
region,880219.SH,湖北板块
region,880220.SH,福建板块
region,880221.SH,湖南板块
region,880222.SH,江西板块
region,880223.SH,四川板块
region,880224.SH,安徽板块
region,880225.SH,重庆板块
region,880226.SH,江苏板块
region,880227.SH,云南板块
region,880228.SH,浙江板块
region,880229.SH,贵州板块
region,880230.SH,海南板块
region,880231.SH,西藏板块
region,880232.SH,内蒙板块
theme,880505.SH,稀缺资源
theme,880506.SH,5G概念
theme,880507.SH,国防军工
theme,880513.SH,海峡西岸
theme,880519.SH,碳中和
theme,880520.SH,智能电网
theme,880521.SH,黄金概念
theme,880522.SH,低空经济
theme,880523.SH,铜缆高速连接
theme,880525.SH,高铁
theme,880528.SH,军工信息化
theme,880530.SH,合成生物
theme,880533.SH,物联网
theme,880534.SH,锂电池概念
theme,880535.SH,稀土永磁
theme,880536.SH,微盘精选
theme,880537.SH,核电核能
theme,880538.SH,参股金融
theme,880540.SH,创投概念
theme,880541.SH,AI手机PC
theme,880542.SH,水利建设
theme,880544.SH,光伏
theme,880545.SH,云计算
theme,880546.SH,卫星导航
theme,880547.SH,玻璃基板
theme,880548.SH,商业航天
theme,880549.SH,可燃冰
theme,880550.SH,PCB概念
theme,880552.SH,车联网
theme,880553.SH,页岩气
theme,880555.SH,财税数字化
theme,880556.SH,昨ST连板
theme,880557.SH,生物疫苗
theme,880558.SH,节能环保
theme,880560.SH,高端装备
theme,880561.SH,折叠屏
theme,880562.SH,高校背景
theme,880563.SH,食品安全
theme,880564.SH,白酒概念
theme,880565.SH,送转潜力
theme,880567.SH,海南自贸
theme,880568.SH,生物质能
theme,880570.SH,高应收款
theme,880571.SH,碳纤维
theme,880573.SH,摘帽
theme,880574.SH,苹果概念
theme,880576.SH,并购重组股
theme,880577.SH,安防服务
theme,880579.SH,智谱AI
theme,880580.SH,智能交通
theme,880581.SH,控制权变更
theme,880582.SH,风电
theme,880583.SH,充电桩
theme,880584.SH,石墨烯
theme,880585.SH,风沙治理
theme,880586.SH,土地流转
theme,880587.SH,聚氨酯
theme,880588.SH,MLCC概念
theme,880589.SH,智能穿戴
theme,880590.SH,网络游戏
theme,880591.SH,上海自贸
theme,880592.SH,互联金融
theme,880593.SH,婴童概念
theme,880594.SH,一带一路
theme,880595.SH,世界杯概念
theme,880596.SH,体育概念
theme,880597.SH,养老概念
theme,880598.SH,博彩概念
theme,880599.SH,民营医院
theme,880601.SH,智慧政务
theme,880602.SH,免税概念
theme,880604.SH,PVDF概念
theme,880605.SH,装配式建筑
theme,880606.SH,辅助生殖
theme,880607.SH,东数西算
theme,880608.SH,第三代半导体
theme,880609.SH,跨境支付CIPS
theme,880610.SH,中俄贸易
theme,880611.SH,核污染防治
theme,880612.SH,镍金属
theme,880613.SH,电子身份证
theme,880614.SH,绿色建筑
theme,880615.SH,家庭医生
theme,880616.SH,大飞机
theme,880617.SH,IP经济
theme,880618.SH,化肥概念
theme,880619.SH,业绩预增
theme,880620.SH,券商金股
theme,880622.SH,破增发价
theme,880624.SH,新型城镇
theme,880625.SH,主营变更
theme,880627.SH,超临界发电
theme,880628.SH,钒电池
theme,880629.SH,MicroLED
theme,880630.SH,虚拟电厂
theme,880631.SH,一体压铸
theme,880632.SH,动力电池回收
theme,880633.SH,汽车热管理
