# TDX Style Blocks

Total: 158

1. 880556.SH 昨ST连板
2. 880665.SH 昨ST首板
3. 880812.SH 昨日连板
4. 880915.SH 昨日突涨
5. 880858.SH 国开持股
6. 880863.SH 昨日涨停
7. 880081.SH 轮动趋势
8. 880851.SH 已高送转
9. 880843.SH 业绩预降
10. 880836.SH 配股股
11. 880825.SH 预计转亏
12. 880778.SH 次新预增
13. 880895.SH 持续增长
14. 880551.SH 大基金持股
15. 880897.SH 即将解禁
16. 880532.SH 整体上市
17. 880640.SH 历史新高
18. 880875.SH 中小银行
19. 880859.SH 员工持股
20. 880877.SH 户数减少
21. 880845.SH 高股息股
22. 880856.SH 定增股
23. 880625.SH 主营变更
24. 880880.SH 近期强势
25. 880708.SH 台资背景
26. 880829.SH 低市净率
27. 880622.SH 破增发价
28. 880527.SH 承诺不减
29. 880865.SH 近期新高
30. 880677.SH 活跃可转债
31. 880837.SH 活跃股
32. 880889.SH 不活跃股
33. 880805.SH 保险重仓
34. 880826.SH 低市盈率
35. 880807.SH 股东增持
36. 880814.SH 拟增持
37. 880752.SH 昨曾跌停
38. 880846.SH 破净资产
39. 880785.SH 最近多板
40. 880815.SH 拟减持
41. 880573.SH 摘帽
42. 880774.SH 昨日首板
43. 880809.SH 基金独门
44. 880848.SH 被举牌
45. 880690.SH 昨日强势
46. 880782.SH 保险新进
47. 880879.SH 低价股
48. 880787.SH 高商誉
49. 880735.SH 专精特新
50. 880702.SH 壳资源
51. 880868.SH 高贝塔值
52. 880869.SH 股权转让
53. 880816.SH 密集调研
54. 880780.SH 融资增加
55. 880874.SH 昨曾涨停
56. 880847.SH 行业龙头
57. 880751.SH 昨日跌停
58. 880886.SH 昨日较强
59. 880770.SH 昨日上榜
60. 880808.SH 股东减持
61. 880860.SH 扣非亏损
62. 880565.SH 送转潜力
63. 880723.SH 发可转债
64. 880824.SH 高市盈率
65. 880526.SH 高分红股
66. 880543.SH 外资背景
67. 880833.SH 亏损股
68. 880576.SH 并购重组股
69. 880867.SH 昨高换手
70. 880834.SH 微利股
71. 880803.SH 券商重仓
72. 880823.SH 微盘股
73. 880870.SH 两年新股
74. 880793.SH 基金减仓
75. 880849.SH 回购计划
76. 880893.SH 送转超跌
77. 880676.SH 活跃ETF
78. 880678.SH 陆股通重仓
79. 880539.SH 股权激励
80. 880769.SH 股权集中
81. 880853.SH 中字头
82. 880898.SH 近已解禁
83. 880578.SH 专项贷款
84. 880894.SH 养老金持股
85. 880871.SH 股权分散
86. 880866.SH 近期新低
87. 880531.SH 低安全分
88. 880872.SH 近期复牌
89. 880581.SH 控制权变更
90. 880876.SH 户数增加
91. 880721.SH 北上重仓
92. 880699.SH 最近情绪指数
93. 880694.SH 活跃小盘国企
94. 880687.SH 活跃小盘非融
95. 880804.SH 信托重仓
96. 880806.SH 社保重仓
97. 880821.SH 大盘股
98. 880538.SH 参股金融
99. 880653.SH 私募重仓
100. 880570.SH 高应收款
101. 880864.SH 昨日振荡
102. 880680.SH 非周期股
103. 880857.SH 证金汇金持股
104. 880641.SH 历史新低
105. 880883.SH MSCI成份
106. 880891.SH 破发行价
107. 880763.SH 自由现金流
108. 880873.SH 个人持股
109. 880861.SH 连续亏损
110. 880801.SH 基金重仓
111. 880878.SH 百元股
112. 880970.SH 分拆上市预期
113. 880852.SH 参股新股
114. 880536.SH 微盘精选
115. 880698.SH 宽基ETF
116. 880648.SH 私募新进
117. 880813.SH 并购重组预案
118. 880712.SH 微小盘股
119. 880620.SH 券商金股
120. 880842.SH 业绩预升
121. 880963.SH 昨日断板
122. 880603.SH 新进指标股
123. 880822.SH 昨收活跃
124. 880854.SH 预高送转
125. 880818.SH 通达信热股
126. 880783.SH 社保新进
127. 880679.SH 周期股
128. 880884.SH 最近异动
129. 880790.SH 高负债率
130. 880817.SH 商誉减值
131. 880896.SH 风险提示
132. 880771.SH MSCI中盘
133. 880850.SH 定增预案
134. 880890.SH 配股预案
135. 880947.SH 化债AMC
136. 880784.SH 昨日较弱
137. 880881.SH 近期弱势
138. 880882.SH 久不分红
139. 880835.SH 绩优股
140. 880559.SH 要约收购
141. 880892.SH 高质押股
142. 880802.SH QFII重仓
143. 880789.SH 昨成交20
144. 880691.SH 昨日弱势
145. 880781.SH QFII新进
146. 880562.SH 高校背景
147. 880082.SH 板块趋势
148. 880979.SH 科创成长层
149. 880827.SH 高市净率
150. 880756.SH 机构吸筹
151. 880779.SH 高融资盘
152. 880887.SH 次新超跌
153. 880554.SH 科创板次新
154. 880786.SH 海外业务
155. 880792.SH 基金增仓
156. 880885.SH 近端次新
157. 880844.SH 预计扭亏
158. 880619.SH 业绩预增
